dice,spare_ad,spare_ad_class,reg_method
0.772995781,-0.781683,middle,ANTs+WD
0.803892083,2.25077,top_25,ANTs+WD
0.754350241,-0.526415,middle,ANTs+WD
0.687418209,1.70372,top_25,ANTs+WD
0.727450788,1.98294,top_25,ANTs+WD
0.789130619,-2.48617,bottom_25,ANTs+WD
0.842720262,-1.5017,bottom_25,ANTs+WD
0.774828413,0.204016,middle,ANTs+WD
0.8549045,-1.63889,bottom_25,ANTs+WD
0.784768514,3.67035,top_25,ANTs+WD
0.772934386,-0.291647,middle,ANTs+WD
0.752176139,2.06582,top_25,ANTs+WD
0.749530873,1.34509,middle,ANTs+WD
0.829548806,1.4299,top_25,ANTs+WD
0.725714286,1.38816,middle,ANTs+WD
0.815511359,-0.62039,middle,ANTs+WD
0.705096074,0.333308,middle,ANTs+WD
0.794272222,-1.14512,middle,ANTs+WD
0.828739003,-1.0084,middle,ANTs+WD
0.821541847,-1.22953,middle,ANTs+WD
0.821024439,-3.1662,bottom_25,ANTs+WD
0.742793517,0.688493,middle,ANTs+WD
0.720607235,-0.298171,middle,ANTs+WD
0.733062119,0.500965,middle,ANTs+WD
0.730778424,-1.37706,bottom_25,ANTs+WD
0.739705882,1.32601,middle,ANTs+WD
0.759057971,-1.12852,middle,ANTs+WD
0.751913413,-0.502243,middle,ANTs+WD
0.741693038,-1.1055,middle,ANTs+WD
0.804730314,2.74086,top_25,ANTs+WD
0.762762763,0.83503,middle,ANTs+WD
0.706640238,2.77399,top_25,ANTs+WD
